,comments,likes
59,롤스로이스 타고 맥드라이브 가보고 싶네.예전에 그런 소리가 있었는데.. 매직 카펫 어쩌고 하는게 컵에 물을 채우고 서울 부산 왕복을 해도 물 안흘린다고... 그만큼 승차감이 좋다는 거겠지,2
60,"자꾸 제네시스랑 럭셔리함, 판매방식에 대해 비교하시는데 제네시스 와 롤스로이스는 일단 비교대상이 아닌것 같습니다.",1
61,차야 일반 대중차(독3사도 포함되버리겠죠)에 비해 뭔가 다르고 좋겠죠?  근데 냉정히 제눈에 인테리어는 그냥 올드하고 트렌드에 안맞아보여요~  근데도 너무 좋다고 하시는거보면... 역시 브랜드가 주는 심리적효과는 객관을 한참 뛰어넘는 힘을 가지고 있네요.,2
62,와..차를 보는건지 예술작품을 보는건지..,1
63,하 진짜 너무이쁘고 멋있고 기품있고.. 럭셔리하다.. 타고싶다.. 어깨에힘 뒤지게 들어갈텐데 하아..현실은 yf소나타.. 하,1
64,저도 살겁니다 다음생에....영상 잘 봤습니다!,1
65,눈내리는 설산에서 달리는 모습이 진짜 침고이네요..,3
66,재밌게 봤습니다~,1
67,5억9천이라 하면느낌안오는데 s클래스 3대라하니 느낌확오네 .. 진짜 겁나비싼차구나;,2
68,차를 사는게 아니라 내 생활을 산다ㅋㅋㅋㅋㅋ 비유 적절하네요,68
69,오늘따라 운전석을 핸들에 바짝 가까이하고 운전하시는 것 같은데요? ㅋㅋㅋ,1
70,"롤스로이스 고스트와 현대 제네시슬 보니, 대대로 이어온 명문있는 부자와 로또에 당첨 돼 백화점에서 요즘 유행 한다는 비싼 옷을 덕지덕지 걸처입은 사람을 보는 느낌이랄까요? 확실히 롤스로이스 고스튼 기품이 다르군, 고스트 시승기 잘 봤으며 김한용 리뷰어님과 모카 직원분들 2020 한해 수고 많으셨고  2021 Happy New Year.",1
71,이 유튜브 차를 뽀대나게 잘 표현함 ㅜㅜ 롤스로이스 타고싶네,1
72,돈존나모아서 한번 타보고싶다...,1
73,이런 차를 가지고 가면 주변에 모세의 기적이 일어납니다,2
74,역시 롤스로이스라는 건가봐요.돈많으면 관상용으로 전시해도 될까요?,1
75,날카로워지고 날렵해지고 젊어진느낌..중후한 느낌은 덜하지만 그만큼 구매층 나이가 낮아진걸 뜻하겠죠?,1
76,갠 적으로는 벤틀리가 더 아름다운 것 같습니다~ㅎㅎ롤스는 먼가...엉성한 불편함이 있더군요..,2
77,항상 느끼는거지만 5억차도 2억차도 모두 5천짜리 차와 비교하며 비교우위를 설명하고 오천짜리차는 왜 못하냐고 비굘하니 참...,1
78,그래도 롤스로이스는 누가 운전하는가 중요한게 아니라 누가 내리는가가 중요한 차라 생각합니다. 아무리 부자라도 운전석에서 내리면 기사같은 느낌이ㅋㅋㅋㅋㅋ,5
79,롤스로이스에 초보운전 붙이고 타는게 제 소원입니다ㅎㅎ,1
80,정말 저는 스포츠카 같은건 멋있다고 생각 안하는데 저건 정말 고풍스럽고 멋지네요....,5
81,어떤분이 이야기했는데 롤스로이스가 자율주행이 없는이유가 자율주행시스템 만들바에는 재털이를 더 고급스럽게 만들겠다 라고 그랬대요ㅋㅋ 어차피 기사가 있는데 뭐하러 자율주행을 만드냐는 말이겠죠ㅋㅋ,2
82,저 차 타려면 차량 유지비에 기사 고용비도 넣어서 계산해야겠는데 ㅋㅋㅋ,1
83,ㅋㅋㅋㅋㅋ 기사가 된 느낌이 드네 ㅋㅋㅋㅋㅋㅋㅋㅋ 와 진짜 드립왕이다 ㅋㅋㅋ,23
84,롤스로이스는... 뒷좌석에 타봐야 제대로 아는거 아닙니까 ㅎㅎ,1
85,롤로를 타고 요트장에서 요트를 타면 하루일과가 요트로 시작해서 요트로 끝나는 삶...,1
86,오 신차 하나 뽑으셨네요! 이야 멋지십니다~!,1
87,형님 롤스 앞에선 차분하시네요,1
88,갓용님은 고스트보다 던을 더 찰지게 리뷰하실거같은데,1
89,571마력 느껴보고싶다..,4
90,와 ㄹㅇ 감성..,1
91,가성비 따지는 순간 서민이죠...ㅠ,6
92,와 차만 봐도 지리겠네,1
93,와 고속주행인데 말소리 엄청 잘들리네요...,2
94,항상 궁금했는데 시승할때 제공하는 측에서 사고에 대한 보장은 안하나보네요 ㅋㅋ 뭐 진짜 후덜거려서 찍겠습니까 ㅋㅋㅋㅋㅋ,158
95,롤스로이스도 도로 주행하면 운전 생초보도 잘 하겠닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다 파해갈 듯,6
96,사실 잘껴줘요 에서 빵터졌네요 ㅋㅋ,6
97,그래도 국내 차 중에는 제네시스가 좋긴 한가보네... 롤스로이스랑 감히 비교가 되네... 많이 떨어지지만,1
98,차를 사는게 아니라 생활을 사는거다ㅋㅋㅋㅋㅋ 멘트 기가막형ㅅ,23
99,핸들에 노면 진동이 올라오는데 그게 나쁜가요라니. 참.,3
100,"롤스로이스 핸들조향, 자동주행 없는 이유가 롤로 타는 사람은 다 운전기사가 있어서 그런거라고 하던데",1
101,롤스로이스를 타면 뒷차가 크락션을 안울린다 = 가까이서 구경하고 있음ㅋㅋ,197
102,차를사는게아니라 생활을산다 명언이다ㅋㅋ,2
103,자동차리뷰는 항상 이채널이 젤  최곤것같아요 ㅋㅋ 근데 제네시스를 안좋아하시는 것 같아요! ㅋㅋ,1
104,덩치에 비해 되게 날렵해 보이는군요,1
105,과실비율 9:1 받아도 씹손해,6
106,결코 화려하지않은 무언의 존재감정션.,2
107,동영상에서 보면 위에 차체는 가만히 움직이지도 않고 바퀴만 움직이는 것 처럼 보이네요,2
108,노면의 진동이 느껴짐 . 내차도 고급 ㅋㅋ,1
109,다음 생에 이재용 회장 손자로 태어나서 꼭 사겠습니다,1
110,한용이형너무귀여우셔^^,1
111,벤츠 S클 EBC는유압장치를 별도로 달아서 댐퍼의 감쇠력을 조절하는 게 아니라차를 순식간에 들었다 놨다 하는 겁니다방식이 전혀 달라요타사는 에어 스프링을 이용하기에순발력이나 힘에 한계가 있죠,1
112,나랑 아무상관없는차ㄷㄷ 근데 계속보고있음ㅋㅋ,100
113,화려한 치장이 없다뇨…롤.스.로.이.스. 이 5글자가 모든걸 말해주는걸요…,1
114,이 차가 바로  도로에서 주변에 차가 없어진다는 찬가요,3
115,롤스로이스는 운전자보다 뒷자리에 더 포커싱을 맞췄다 해요. 왜냐면 롤스로이스를 구매하는 사람은 직접 운전하지 않고 누군가가 운전을 해주길 때문이라..는,1
116,영상 초반  촬영장소가 어딘가요??? 너무 이뻐요 ㅜㅜ,1
117,롤스로이스 고스트  차 좋지~~~  안락함은 갑이지~~~~~,3
118,믿고 보는 시승기,2
119,핸들조향이 안되는 이유 : 어차피 기사를 쓰기 때문에 자율주행이 필요가 없다,1
120,11:54 회장님들과 도련님들은 조향을 할일이 없어서.....,89
121,5:37 캬 띵언,166
122,프리미엄버스로 대리만족...,1
123,티코가 롤스로이스로 바뀌는 마법,1
124,직접 운전 해봤네요 묵직합니다  기름 벌레죠,1
125,원래 차에 그닥 관심이 없는데 차 바꿀때가 돼서 이거저거 찾아보다가 이 채널에 들어와서는 홀린듯이 영상을 계속 보고있어요... 저좀 꺼내주세요.... ㅋㅋㅋㅋㅋ,1
126,우산 잘잃어버리는데 저거잃어버리면 슬프겠다,2
127,11:50 핸들조양이 없는이유 롤스로이스: 어디 기사놈이 쉴려고 클루즈 컨트롤로도 감사해야지,62
128,14:40 과 영상에 나오는 고급 주택은 어디인가요? 너무 좋아보이네요,4
129,S클을 훨신 더 저렴한 차종으로 분류시켜버리는구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,14
130,발 디디는게 너무 미안해!~ 에서 빵터졌습니다 ㅋㅋㅋ,1
131,한 20분 시청했더니 알 수 없는 미묘한 감정이 올라오네요. 쩝.....,1
132,저거 타고 부산 가고싶다 과연 다 비켜줄지,1
133,차를 사는게 아니라 내 생활을 산다진짜 말 잘하셔 이편에 보면 와 ㅋㅋㅋㅋ저도 삽니다 ^^ 언젠지는 모르겠지만 ㅎㅎ6:33 육공트럭 느낌? 시드니 파라마타 웨스트필드에서 한번 팬텀 고스트 타봤는데 팬텀은 ㄹㅇ 육공트럭인줄 ㅋㅋㅋ,1
134,*모세의 기적포브스 선정 도심에서 몰기에 가장 편한 차,1
135,그릴 불들어오는게 이렇게 고급져..?,6
136,ㄹㅇ 롤스로이스는 클락션 안하고 뒤에 가까이 와서 구경할듯 ㅋㅋㅋ,1
137,그릴 일자로 된거 왜케 옛날차같지 ㅋ 현기에 적응대서 그런가,1
