,comments,likes
39,저도 오늘 타봤는데요후진할때 후방 카메라 잡힌 뒤드라이브 할때 화면이 맵으로 안돌아와요 ㅜㅜ메뉴 버튼 계속 눌렀어요,4
40,"김한용님 현대직원 아니었나보네요?저번에 어느영상보니까 말도 잘 못하는 조카(?)같은 사회초년생같은 애를 키우는듯한데, 그 20대초반의 남자애도 지인(?) 삼촌(?) 찬스로 유튜브에 무혈입성인가보네요ㅋㅋ 얼굴좀 비추고 알려서 차 유튜버만드는 과정같던데, 많은사람들이 잘 지켜보고있습니다~^^",4
41,안녕  벤츠 라고말해야하는데 지식부족.,4
42,벤츠에서 돈 얼마 받고 하나요? 이게 리뷰인가요 홍보이지~~,3
43,이런 사람은 벤츠 탈 자격이 없음!,7
44,이장님 ㅋㅋㅋㅋㅋㅋㅋ,2
45,이 사람 현대차 영업 과장인 줄 알았는데? 아닌가 보네. 어차피 나쁜 말 안하는 이런 사람도 자동차 리뷰를 할 수 있나 보네?,2
46,"일단 사람들의 심장을 뛰게 만들고 열광하게 만드는게 있으면 그건 전자 기기든 스포츠든.... 다 이유가 있는법..  농구하면 조던 축구하면 음..메시 호날두... 등등.. 빌게이츠라는 인물이 없었다면 과연 컴퓨터 인터넷이란걸 이렇게 빨리 발전시킬수 있었을까하는 의문.... 세상은 확실히 천재들이 바꾸는게 맞음...테슬하하면 애플사 아이폰과 비교하는 이유도... 난 솔직히 스티븐잡스가 여전히 살아있었다면.. 스티븐 잡스는 아마도 아이폰에 홀로그램까지도 성공했을거라고 봄... 그만큼 기대했던일이기도 했었고... 스티븐 잡스의 죽음이 안타깝기도하고.. 그만큼 이 세상은... 창의적이고 뛰어난 천재가.. 세상을 바꾸는게 맞음...하지만 난 아직까지도.. 일런 머스크가 과연 그 반열까지 올라올 사람인가.. 확실히 믿진 않지만 하나는 확실함... 이 사람은.. 전략가이면서... 탁월한 머리까지 겸비했다고...생각하지만... 먼가... 일런 머스크는 다른 위인들과 다름... 너무 괴짜에... 종잡을수가 없는... 사이비 교주라고 해야하나 ㅎㅎㅎ.. 암튼 능력은 있는데.. 먼가 신뢰를 주기엔.. 너무 많은 돌방행동들이 많음.... 하지만... 이 사람이.. 테슬라 전기차를 내놓으면서.. 가격을 이정도로 낮추고... 비록.. 마감이나 단품들이 많으나... 소비자가 내가 만든 차를 타본다면... 이런건 아무것도 아니란걸 증명이라도 해보고 싶었던건지.... 껍데기가 멋이 중한디... 일단 타봐... 그리고 니들이 외관은 고쳐타(?)ㅋㅋ 하란듯이... 너무 뻔뻔스럽게 장사를 함에도 불구하고... 사람들이 불평불만을 쏟아내지만 좋아해... 이런건.. 난 첨보는 현상임..... 그만큼... 테슬라가 내놓은 제품은 매력이 있다는 뜻임....내 주위에 테슬라 타는 지인들 똑같은 증상들임.... 마감은 물론,.. 외형.. 등등.. 불만은 투성인데.... 이 차가 좋대... 맨날 타고다녀 ㅋㅋ... 능력이 없는 분들도 아닌데 ㅋㅋㅋ. 그냥 운전이 잼있고.. 먼가 모르게 색다롭데... .. 참 이상한일이지...달랑 기본 실내엔... 핸들하고... 아이패드같은... 화면만 하나 덩그라니 놓여 있을뿐인데..... 테슬라 타다가.. 다른 차 타면.... 올드하다고 느껴지는 느낌이 있다나 머라나...테슬라를 안타본사람들은... 모르겠지만.... 나도 비슷한 느낌이 듬...그냥 핸들하고... 가운데 아이패드 같은 모니터 하나 딱 있을뿐인데...이게 왜이렇게... 든든해 보이는지.....",5
47,IT기기라는 말에 공감합니다. 진짜 잡스가 암으로 안 죽어서 애플카가 나왔으면 테슬라가 어찌 되었을지 모르는데...,3
48,"앞으로 나올 현기차는 걱정이네요... 내연기관 차도 제대로 못 만드는데...기존 코나랑 아이오닉, 니로 등 비교적 가볍고 작은 차는 괜찮은데...",2
49,테슬라 인테리어는 플라스틱 장난감 수준,11
50,"테슬라 브랜딩의 승리죠...시장진입을 먼저했을때 누릴수 있는 이점을 고스란히 가져가 버렸죠..브랜딩도 선점효과란게 있거든요. 전기차로서 브랜딩을 선점할때 어떤 영역을 선점할거냐 여러 선택지가 있었을텐데, 전기차->고성능->스포츠카 영역을 선점했죠. 많은 사람들의 선망의 대상인 스포츠카를 전기차로 선점해 버리니 자연스럽게 프리미엄이 뒤따라옵니다. 포르쉐는 급이 다르니 차치하더라도...전기차 영역에선 프리미엄의 대명사 독3사보다 앞서나가 있습니다. 테슬라가 크게 실수하지 않는이상 선점한 브랜드 정체성은 계속 이어나갈테고 전기차시장이 커지면 커질수록 성숙하면 성숙할수록 해리티지가 가장 많이 쌓인 브랜드로 군림할거같아요.",12
51,모델y 리뷰도 어떻게 안될까요? ;;;,2
52,그래서 토요타는 과감히 포기한듯,5
53,벤츠 Bmw 전기차 꼬라지를 보면 재규어 I pace는 진짜 완성도 있게 잘 만든 차인걸 새삼,6
54,차는 괜찮은데 망한차 ...,6
55,"13:55 EQC:장비를 정지합니다 정지 하겠습니다 정, 정, 정지가 앙대 앙대잖아  정지가 앙대!",7
56,모델s도 소음이 좀 있죠... 잡소리도 좀 많고..,3
57,Ic 컴퍼니 박회장님 차네요,3
58,모터그레프의 배신자라고 쓰고 뭐라 읽죠?,5
59,이태원 클라쓰 보고 오신분,37
60,거기원래테슬라아니었나요,2
61,김한용님이젊은이요50대아닌가요,4
62,디스 플레이 2개가 있고 하나에 네비를 없앴으면 반대에 네비가 나와야 된다는 말에는 동의하기 어렵네요. 계기판은 운전자 정면에 나와야 되는 겁니다. 계기판을 없애고 네비게이션 화면을 띄워야 된다는 소리인데 그게 자율 주행이 없는 형 상황에서 얼마나 위험한지 모르시는 건가요? 참 답답합니다.,2
63,테슬라도 오토파일럿하고 손 안잡으면 세운다던데,3
64,자율주행은 구글이 아마 라이센스로 배포해서 시장장악하려할듯하면 이후 테슬라는 망,1
65,프로토 타입이길(?),3
66,전기차 만드는게 상당히 여러므로 복잡한가봅니다 벤츠도 이러는걸 보면,2
67,벤츠가 이러면 안되지;;,4
68,중국 스럽네 요즘 벤츠 ㅋㅋ 중국하고 협엄 많니 하더니 이제 벤츠 걸러야 겠다,10
69,벤츠의 양아치성이 드러나는 건가요?  급하게 대충 맹글어서 삼각별 달았쩌~~~영  1억.,5
70,고속도로에서비상정지하면죽는건가요,3
71,김한용님이젊으신가요아제아니신가요,1
72,전기차 신생기업 아닌데?벤츠의 모기업이 베이징자동차인데중국 전기차 기술력 좋음,4
73,13:45 순 양아치 아녀 ㅋㅋㅋ 고속도로 한복판에서 멈추면 어떡하려고.. 메이커 자존심을 걸고 목적지까지 데려다줘야되는거 아닌가 ㅡㅡ,7
74,타이칸이 더 궁금해지네요...,1
75,"테슬라가 제조구력이 짧아 단차안맞는 부분이 있지만, 그것만 빼면 향후 다른 브랜드에 밀릴 것이 없을 것 같은... 아니 시간 지나면 오히려 더 차이가 벌어질 것 같은...",3
76,김한용 기자님 지식수준이 굉장하네요. 사전 조사를 열심히 하는 타입이신 듯합니다. 전기차의 브레이크의 작동 과정과 다른 점을 알아가네요. 역시 기자,2
77,독 3사 전기차 디자인이 왜 구져 보이냐... 디자인만 보면 다른 전기차들이 더 멋이는 것 같음... 이제 그릴 좀 빼지...,10
78,2020 셀토스 전기차가 더 나을듯,4
79,타이칸도똥 이것도 똥이네,3
80,벤츠빠입니다.근데 이건 정말 아니다 ㅠ테슬라3 압승..,9
81,장점은 사이즈,1
82,포르쉐 자체 기술이 1도 없는 타이칸도 똥인데 이건 똥pro네.,2
83,벤츠가 기술력이 안되서 전기차를 그것밖에 못만드냐 한다면 전 그렇다고보네요 전기차는 그간 갈고닦은 내연기관 기술력이 개입될 여지가 없는 분야입니다,5
84,벤츠 맥이는 리뷰! ㅋㅋ,1
85,다시보니 선녀같은 테슬라?^^,4
86,김한용기자님 비전문가가들어도 머가더중요한 포인트인지 콕 꼬집어주시는군요 아이티 강국인 우리나라가 미래의 자동차 강국이되리라 희망합니다,3
87,허허 벤츠가 그렇게 플러그인하이브리드를 만들었는데 이렇게 허술하게 전기차를 만들다니...실망,5
88,뒷모습 약간 카이엔 짝퉁,4
89,만약에 둘다 메이커가 없다면 벤츠EQC와 테슬라 중에 벤츠 EQC를 고를것 같네요테슬라보다 훨씬 마감처리 좋고 완성도도 높고 내부디자인도 훨씬 고급 스럽고 이쁘네요 아직 배터리 기술이 좀 부족할수는 있지만 후에는 문제없을것같네요,2
90,디자인 구리다,6
91,차가 이뻐서 들어왔는데...똥차네요.,8
92,IT 쪽은 듣고 보니 그렇네요... 음...,3
93,"요즘같이 첨단기술이 빠르게 발전하는 시대에 전기차라면, 5년후면 30프로 잔존가치겠네요. 현기의 수소전기차에 기대하고있어요.",1
94,"잘 봤습니다 하지만 좀 편견이 과한 면이 있는 것 같아요 몇몇 단점 등은 이해가 되지만 테슬라를 너무 추켜세우는 듯한 언급은 안하셧으면 더 좋았을 것 같습니다, 테슬라도 장점도 많지만 문제도 많아보이거든요 아무튼 다음번에는 더 나은 영상 기대하겠습니다",8
95,김한용기자님 차 잘안까는데이차는 까네ㅋㅋ,4
96,"저도 eqc를 시승을 해봤지만 장점보단 단점이 너무 많은거 같아요~~ 브레이크담력이 너무 안좋았구요~ 그리고 최대의 단점은 주행거리일거예요~ 유럽에서는 400넘어가는데 한국공인으로는 309밖에 안돼더라구요~ 너무 보수적이라 하더라두 너무 보수적이예요 부산으로 간다치면 1번충전할것을 2~3번충전을 하니까요, 그리고 실내공간은 좋으나 플라스틱이 많이 있는거 같아요~~어찌 코나보다도 주행거리가 너무 적어요~ 거의 100정도 차이가",4
97,"기존의 완성차 브랜드들의 기술력 역사 정말 무시못하고 대단한건 맞는데 전기차로 넘어가게되면 솔직히 새로 시작했다고 봐야죠. 물론 기존 기술을 써먹을 수도 있는데 제일 핵심인 파워트레인이 아예 다르게 바뀌는게 전기차이다보니까요.. 그런부분에서 기존의 대형 메이커들이 좀 방심한게 아닌가 싶습니다. 현대, 토요타에서 2세대 양산모델까지 내놓은 수소전지차를 제대로 출시도 못하고 있는거 보면 더더욱 그렇다고 보네요. 벤츠라는 네임밸류가 내연기관차량을 구매한다고 했을때는 충분히 그 값을 지불 할 가치가 있다고 생각되지만 전기차는 솔직히 아니라고 생각됩니다. 브레이크쪽 말씀하시는거보니 회생제동 시스템도 아직 제대로 완성이 안된듯한 느낌이구요. 회생제동 시스템을 잘 만들어야 실제항속거리가 늘어나는데 말이죠.. 실제로 코나ev같은경우 600키로 실주행 인증 심심찮게 올라오고 700키로 인증사진이 올라오기도 했습니다. 700키로는 주행가능거리라 논란이 좀 있긴 하지만 코나가 공식적으로 400키로 탄다고 나오는데 회생제동 기술이 이래서 중요하거든요.",9
98,정면 못생겻당,3
99,제가 생각하기에는 미국과 다른 나라들의 차이 입니다. 문화적으로 미국에서는 뭔가 투자를 많이 받은 회사들은 사람을 상대로 실험을 합니다. 일단 물건 풀어놓고 거기서 오는 부작용을 고쳐나가는 형식이고 다른나라들은 충분한 실험을 한 후에 데이터를 갖고 사람에게 해가 없다고 생각하면 내놓는 방식입니다. 예를 들어 제약회사들이나 IT회사에서 자주 보이는 현상입니다. 자율주행능력도 자율주행능력 리포트에서는 테슬라 자율주행기술이 자동차 회사들 중에 최하위 수준이고 타 회사들은 인텔이나 구글같은 회사들이랑 합작해서 더욱더 뛰어나고 완벽하게 만들고 실험하는 중이죠.,2
100,열일하시는모습보기좋아요,3
101,음... 그게 개인적 차이가 아닐까요? 저는 네비게이션 화면보다는 지금 듣고 있는 음악화면이 나오는게 더 중요한걸요. 한용님 말씀대로 네비게이션은 지금 창밖에 나오잖아요. 창밖에 지금 네비게이션이 펼쳐지고 있는데 자동차 화면에서 왜 봐야하죠? 전 음악 플레이리스트 정보등이 자동으로 나오는게 더 중요하다고 봅니다. 어쩌다가 한번 네비게이션을 보는 사람에 입장에서는 말이죠.,1
102,인공지능 저런거 쓰잘데기 없음,3
103,"테슬라의 빈집털이... 실패?? 돌덩어리 브레이크 ㅡ.,ㅡ 브레이킹 시점이 느리면 위험하지 않나요???",1
104,벤츠 비엠 테슬 전기차 비교 시승 부탁해요 한용이형,2
105,전기차가 제원상 300키로 간다는것은 사실상 가용영역은 200키로보다 못한겁니다. 그리고 겨울철 열화되는것까지 따지만 150키로밖에 못간다는겁니다. 사실상 집에 충전기가 있어서 매일매일 충전해 주면서 타야되는 차인것이죠. 전기차는 배터리를 항상 10~20% 에서 80~90% 사이에서 사용해야 배터리가 최적화되어 성능저하가 없습니다.,3
106,쓰레기네 이거,10
107,"핸들을 잡으라고 경고메세지가 계기판에 떠 손을잡으라고 경고를 하는데도 손을 잡지 않으면 차를 세우겠다고 하는 이유는, 차량의 운전자에게 무슨 일이 생겼다고 상황을 파악하고 차를 서서히 세우는 세팅을 해 놓았습니다. 예를 들어 운전자가 심장마비를 일으켜 운전에 대응할 수 없는 상황이 발생할 수 도 있습니다. 이런 안전에 최우선을 두고 차를 만들었기 때문입니다.",8
108,개구리넹,5
109,재미있게 잘 봤습니다~!,1
110,말씀하신데로 가격에 비해 아쉬움이 많이 있네요가격 차이가 왜나는지 인지도값ᆢno no!그렇다고 전기차에 대한 노하우가 뛰어난것도 아니고 현대와 비교해도 별반 차이가 없는데ᆢㅎ솔직히 최고의 노하우를 갖고있는 테슬라 보다는 가격이 싸야되지 않을까ᆢ 생각합니다이건 단지 저의 소견일 뿐입니다,6
111,테슬라 따라잡으려면 10년은 더걸릴듯 ;;; 심지어 지금 대량생산 준비중인 회사는 폭스바겐 말고 없는데 폭스바겐 대량생산 모델 프로토 타입이 아우디 이트론인데 이트론 ㅋㅋㅋㅋㅋ 절레절레 ㅋㅋㅋㅋ,6
112,아 난 벤츠빠인데 이건 아니다 가격 잘 못 측정했어... 1억 넘겼음 안되지...,10
113,GLC사고 차액으로 기름값10년해도 남을듯ㅋㅋ ㅎㅎ,17
114,2.4톤이나?  엄청 무겁네요.  그래서 제동이 더 잘 안 되겠는데요.,4
115,테슬라 똥꼬털보다 못한데?,9
116,슈퍼카 라인쪽에서 전기차 뽑으면 제로백 2초대 나오려나 페라리 람보쪽,2
117,전기차는 테슬라 못따라가는것 같긴하네요.. 김기자님도 지금 말씀하신 것처럼 럭셔리함 마감 이런거는 벤츠지 하면서 수긍하실분들도 계실거라고 하셨죠. 하지만 김기자님 말대로 그 가격차이가 5천만원의 가치인데 그걸 감안하기엔 비싼것 같다이거죠. 국산차 칭찬하는건 양산형 차량이라고 해야하나 그것치고는 가성비가 워낙 좋다는 평가지요.코나ev 종종 제주도갈때마다 몰아본 느낌으로는 진짜 코나 잘만들었다는 생각듭니다. (하이브리드휠이 차무게에 비해 접지력이 낮다는건 눈물..) 그리고 전기차를 떠나 해외차랑 우리나라차랑 비교해보면 성능 외관은 우리나라가 떨어지더라도 IT 기능 및 인터페이스는 우리나라차량이 훨씬 편해요.. 그렇기에 전기차를 하나의 IT 기기로 인식하는 김기자님이나 저같은 사람들은 김기자님이 국산차량 칭찬하는것에 동의하는것같습니다.,10
118,김한용 기자님 거짓말 하지 마세요.. 테슬라보다 쪼금이 아니라 아에 비교 자체가 안됩니다.. 테슬라 발까락 때수준,9
119,독3사 전기차나올때 테슬라는 끝이라는사람이 그렇게 많더니.....오히려 모델3 판매량만 급상승하겠네 ㅎㅎ 전기차는 그렇게만드는거 아니에요 ㅎㅎㅎ,7
120,"glc 제로백 5.9초 , eqc 제로백 5.1초 아닌가요?",1
