,comments,likes
57,난 저런건 12기통쯤 되는줄 알았는데.4기통이다 6기통으로 넘어 온거군요.,1
58,드림카를 마음껏(?) 타보려면 자동차기자가 되면 된다라는 걸 알았더라면 저도 자동차기자가 되었을겁니다. ㅋ,1
59,외관은 아름답네요.ㅎ,1
60,주유캡 옵션은 60만원이 아니라 20만원입니다~,2
61,포르쉐는 볼 때마다 경이롭네 ㅋㅋㅋㅋ,1
62,"Nice review, I read the subtitles in English.",1
63,영상은 항상 아주유익해요깔리는 음악은 신경쓰이긴하네요..,6
64,포르쉐....디자인은 개구리이지만 간지는 나네 ㅋㅋㅋㅋ,2
65,수동도 있던데 수동도 리뷰해주세요 ~정식수입은 아니겠지만요수동이라면 최초리뷰일듯,1
66,28:35 기관총 소리.. 하 미쳤다,57
67,사회초년생들 첫 차로 딱인차 입니다. 원룸살던 신경쓰지마세요. 집보단 차에 투자입니다. 자유를 느끼세요,1
68,내부의 약간 싸보이는 플라스틱이랑... 테슬라의 악명높은 단차랑 같은 선상에서 비유가 가능한가?,1
69,9:04 알미늄 주유캡 20만원입니다..  저도 60이라면 않했을꺼 같습니다 ㅎㅎㅎ  저는 2.0 노멀 입니다... 노멀도 살살 타기엔 괜찬다고 해주세요 ;;;;,2
70,어디 벤츠 따위가... ㅋㅋㅋㅋㅋㅋㅋ 직원들도 참 재밋군요~ ㅎㅎ,2
71,"사운드는 마세라티, 주행감은 박스 ㅎㅎ",1
72,박스터 gts에 리프팅 옵션이 있나요?..,1
73,와 표정이 정말 행복해 보이네요,1
74,지금 계약해도 다음 모델 나올 때까지 받는다는보장이없데요ㅠ,2
75,28:46 어떤마음인지 알겠습니다 잘봤습니다 ,25
76,김한용 기자님 영상에서 29:00에 스포츠플러스 모드인가요 스포츠 모드인가요? 잘 몰라서 그런데 가속할때 패들 시프트로 2단까지 이동 해놓고 가속 하는게 더 좋은가요?  순수하게 궁금해서 질문드려봅니다,1
77,박스티나 하나 사야겠다...,3
78,자연흡기 6기통 임에도 991.1 대비 배기음이 답답해요 ㅠ,1
79,초록색이니 완전 개구린데? ㅋㅋㅋ근데 멋지다ㅋ,1
80,오랜만에 보는 행복한 찐 미소네요ㅋㅋㅋ,1
81,29:12 너무 행복해보이네요 ㅠㅠ,6
82,딱 드림카네요.  한 50때쯤 새것같은 중고 살 수 있으려나??,1
83,11:04 우리는 신차를 좋아하는거 아니었나요?? ㅋㅋ,2
84,박스터는 리프트 옵션이 없습니다. 911만 있어요.,4
85,역시 그랜저가  젤 좋은거 같아요(Feat  shotSpy),1
