,comments,likes
56,2천9백~3천중반하는 벨로스터N보다 약간 떨어지거나 비슷한 마력과 성능 + 벨로스터보다 7천만원이상 더 비싼 차. 간단히 설명하면 그렇죠.  이상하게 한국 카튜버들은 외제차에겐 잣대가 그렇게 너그러운지 모르겠네요. 굳이 사대주의 + 자존감을 애기안해도 디자인 평가 승차감 소음 단차 가격 가성비 등엔 말도 못함.에휴,5
57,"가장 싸다?"" 가장 저렴한""이 아닌가요? 싸다란말은 구어체이지,문어체는 아니지않나요..",1
58,디자인만보면 진짜 gv80이 갑이네,2
59,차주입니다. 제가 타면서 평소에 좋다고 느꼈지만 제대로 설명하지 못했던 부분들을 구체적이고 선명하게 잘 표현해주셨네요~ 영상도 너무 이쁘구요~ 새해 시작부터 큰 선물 받은 느낌입니다~ 감사합니다~^^,433
60,Gv70사려고 탑승해봤는데 인테리어나 의자 운전자 신체에 맞게 자동셋팅되고 이런거는 진짜 좋던데.,10
61,Gv70차주 입니다마칸이랑  폴쉐랑  비교 하면  안됩니다넘사벽이니까요  다만70 을  조칸이라고 하는건 그만큼 잘만들어졌다는  뜻이지  마칸이란 비비겠다는 의미는  아니지 싶네요현대도  발전해서  포르쉐처럼  좋은 브랜드가 되길  바라고  마칸과 비교할건  아니지만70 이도  상품성 꽤나 좋은 차입니다만족하며  타고 있네요,36
62,"마칸이 2,900cc 로 380 마력 53Kg 토크를 생성해내는데, GV70 은 3,500cc 배기량이어야 동등한 출력을 발휘한다는 점만봐도 마칸에 비해 기술적으로 비효율 엔진이란걸 알 수 있겠네요.",9
63,예전에 인피니티 qx50을 마칸과 비교해서 저렴하고 반값에 살수있다고 말해서 시승한 기억이 나네요.. 차는 급이 있다는걸 뼈저리게 느꼈죠.. 바로 계약하려고 갔는데 한번타보고 저렴한 승차감에 놀랐습니다.. 미션이 cvt.. 마티즈 미션이 들어있는거 같은 느낌.. 그래도 gv70은 그정도는 아니고 괜찮은데 마칸과는 견줄차가 아니다는거죠.. 2.5 엔진에 적당한 옵션을 선택한다면 괜찬을듯,5
64,비교할껀 아니지만 저도...g70시승 갔다가 그날 530 시승하고 bm 샀는데요...수치제원이 중요한게 아니라 현대가 아쉬운게 직결감이 떨어지는거 같긴 합니다.,17
65,물론 성능도 차이나지만 그만큼 가격도 두배 가까이 차이 나기 때문에 능력껏 사면 될거같아요ㅎㅎ,4
66,"사실 마칸의 미션은 아우디의 DSG를 그대로 쓰는거에요. 하드웨어가 똑같이 생겼어요. 마치 하체리뷰에서 봤던 앞/뒤 서스 모양처럼요.심지어 아우디는 요새 DL382 신형 미션을 쓰는데 마칸의 저건 DL501.. 구형 미션이에요.근데.. 제가 DL501달린 차를 사고, 마칸을 기추하고, 다시 DL501을 DL382달린 차로 기변하고..하면서 느끼는건데...무엇을 쓰냐가 중요한게 아니더라고요.어떻게 쓰냐가 훠워워워월씬 더 중요한 거더라고요.아우디랑 완성도가 차원이 다르더라고요. PDK가 맞는 것 같습니다.",5
67,마력이 어쩌고 가성비가 어쩌고현기랑 비교해도..디자인은 무조건갑이고..마력 제로백은 둘째치고감성은 갑입니다..누구도 인정하실듯..,8
68,"카레라 s 카브리올레마력 458ps, 제로백 3.9s, 최고속 306km/h근데 실제로 일반인이 어떠한 상황에서도, 아무리 막 밟아도 측정기로 제로백 3.3s 나옵니다. 약간 오르막도 3.7s 나오더라고요.최고속은 321까지 나오고요.뭔지는 모르겠지만 뉴트리아 m3랑 카레라s랑 밟아보면 카레라s가 훨씬 빠르게 느껴집니다. 마력도 458이 아니라 558ps 같은 느낌.",2
69,MPI/GDI혼합엔진과  유압자동미션을 사용하는 GV70  과  GDI only 에 DCT 미션을 사용하는  마칸.    거꾸로 되었으면  기술이 앞서고 고급 엔진과 미션 사양을 적용한  마칸이라고 칭찬했을 듯.   그냥 포르쉐 마크가 좋다고 하는게  이해하기 좋을듯.,3
70,애초에 gv70 마칸 구매층이 다르죠구매층 타겟 부분에서 하나도 겹치는 부분이 없는차라 비교는 예능이죠 ㅎㅎ,6
71,"차 가격도 넘사벽이죠... ^^GV70은 5,500 정도에 구매하는게가성비 탑 일것 같습니다.",9
72,"양사의 기술력 차이도 있겠지만, 더 중요한 부분은 지향점이 너무 다르다는 겁니다. 그걸 가지고 비교하면서 넘사라고 하는 게 웃긴 거에요. 진짜 넘사라는 평가를 하시려거든 gv70의 N버전이 나오고 나서 해도 늦지 않습니다. 그게 제대로 된 공평한 비교이니까요.",5
73,"구형 gts오너인데 현존하는 컴팩트suv중에 마칸이랑 비빌수있는 차량은 없어요... x3m,4m glc63도 못 덤비는데 gv70?? 흠... 조금 오바해서 이게 suv가 맞나? 싶을정도로 고성능급 스포츠세단이랑 비교해도 될만큼 운동성능 좋은데...",8
74,차 디자인도 이쁜데 색도 진짜 이쁩니다 ㅠㅠ 박지영 아나운서하고 잘 어울릴거 같아요 흙,8
75,영상을 보고나니 gv70이 더 좋아(가성비) 보이네요ㅋㅋ,34
76,성로님 리뷰 좋아요~ 마칸 뽐뿌겁나 오네요 주식대박나서 사고싶음,4
77,같은급 같은출력 이면 조선의 마칸은 맞음.단지 노하우 셋팅.등 기술력과 가격차이에 따른 부품퀄리티가 다를뿐,3
78,마칸 너무 매력적인것 같습니다.x7타고 있는데포르쉐로 넘어가고 싶네요!  여러 조건을 따지면 파나메라 가고싶은데 아직 넘사벽이네요,4
79,이참에 까만형까지 소환해서 서킷가즈아!! 두차종 서킷 비교 영상 갑시다!,1
80,"비교할 땐 gv80은 풀옵가격, 마칸은 스타팅 가격",85
81,GV70 대단하네 7천만원이상 차이를 생각하면 이정도 비교되어도 나쁘지않다ㅋㅋ,32
82,Pdcc가 들어가면 그만큼 무거워지니 안들어가고 가벼운거나 무거워지고 출력 높아지나 또이또이라서 안들어간게 아닐까하는 생각을 조심히 해봅니다,3
83,gv70 존나 가지고싶다 ㄹㅇ..,8
84,가격차이는 늘 대체적으로 정직하고 현기는 아직 독일차를 따라잡기엔 해보지 않은 아니 못해본 영역이 너무 많음.,2
85,미션의 한계일수도 있고 그 차를  그 회사에서 목표로 하는 타겟층과 선호하는 차의 운전성을 맞혀서 세팅 했을수도 있죠 그걸 한계다라고만 할게 아니죠,1
86,Gv70풀옵션 다 때려넣어봤자 아무도 사지않는 마칸 기본형 살수있겠네요.,173
87,"마칸 2.0과 카이엔하브 탑니다.GV70과의 비교를 떠나서 마칸 기본은 마칸아니라는건 좀^^;마칸 2.0이 마칸중에서는 가볍고 밸런스가 가장 좋아 폭발적인 가속감이 부족한것 빼고는 아주 좋습니다. 같은 PDK. 도심에서는 아주 재미있게 탈수 있습니다 (카이엔노멀과 체감가속 비슷합니다) GTS는 고속도로에서도 재미있겠죠^^개인적으로는 카이엔노멀 시승했다가 2.0마칸과 체감가속차 없어서 하브로 출고했네요. 마칸이 체감가속력이 좋아요. 그리고 이번 카이엔 하브 제대로 물건이구요. 차한대값으로 고마력SUV, 전기차 1+1입니다~덧붙여 마칸 2.0도 최하급옵으로 출고시 9천, 최상급은 1.2억정도. 보통은 9천중반~1억선정도에서 출고합니다.",20
88,가격도 넘사벽이긴함 ㅋ 그냥 좋은건 비싸고 덜비싼건 덜좋은게 자본주의,360
89,외계인을 납치해 만든 미션과 운동성능은 비교불가죠 ㅋㅋㅋ 포르쉐 마력은 엔진마력이아닌 휠마력같은 가속능력을 보여주죠,3
90,약간의 희망사항과 기대가 섞여있는거죠 진심 마칸과 비교하려는건 아닐거에요,33
91,사고싶돠..견적돌리니 1.3억 나오던데ㅎㄷㄷ,2
92,에어서스가 좋기는한데 교환할때 가격이일반 월급쟁이들한테는 무리가있죠,2
93,718박스터s를 7주일 운전해본결과 출력이 다가 아님을 저는 잘 알고 있죠극히 공감됩니다,3
94,PDK by DSG...ZF 께 아니라는게 아쉽...마칸 와이프한테 꼭선물하고 싶은차 1순위,2
95,포르쉐 좋지요 정말 좋아요 저도 드림카가 911 현실은 GV70 3.5 풀옵... 현실은 일정 소화하는데는 역시.... 국산최고 지금까지 만족해요... 만3천타는데 별탈없음,2
96,비엠 포르쉐 현대(현대만)좋아하는 사람으로써 그래도 마칸과gv70비교는 안맞는다고봐요 X3나 glc쿱 q3 링컨 정도가.. 맨 누구경쟁상대네 하면서 제대로 이긴적도없는 쓰레시스,3
