,comments,likes
50,"롤스로이스에서 자율주행을 개발 안하냐고 인터뷰를 한 적이 있었죠. 그때 RR 팀이 했던 말 ""왜 자율주행을 개발합니까? 우리 차는 관리해 주는 사람이 있기 때문에 신경쓰지 않으셔도 됩니다"".  라고 하면서, 이어서 ""그럴 시간이면 우리는 재떨이를 더 우아하게 디자인하려고 노력하겠습니다"" 라고 함. ㄷ ㄷ ㄷ ㄷ",1
51,앞으로 bgm들도 게시글에 써주시면 안될까요 ㅠㅠ,7
52,롤스로이스는 자동차박물관에 전시해야됨,1
53,12기통 엔진 좋아하마세요. 아직은 12기엔진이 완벽하지 않아 고장이 심합니다. 결국 고장나면 골병드는것이 롤스로이스 12기통 엔진 이거던요. 고장이 심하게 납니다. 12기통이,1
54,롤스로이스가 12기통을 쓰는이유는 딴거없음. 저알피엠으로 최대한 정숙하게 가겠단소리그래서 그냥 12기통도 아니고 터보까지 집어넣은거 ㅋ다른차 같았으면 12기통에 터보면 천마력 넘어갔음 ㅋ,1
55,N단에두고 엔진음들려주세요엑셀레이터도같이 밟아주세요 (될수있는데 까지요),2
56,24:50 24:50   ~    안오준님 노래 제목좀요 롤스로이스 영상 자꾸 보게 되는데 노래가 너무 좋네요ㅎㅎ24:50 24:50   ~,1
57,운전자분 키가 몇센티죠?,1
58,형 잘봤어 사랑해,1
59,날개가아니라 코트 날리는현상을 만들었다 들어습니다.,1
60,이번 영상에서 피글렛님 역대급 존예로 나오시네요,11
61,어려서부터 최고라 불리고 지금까지 최고라는 롤스로이스네요^^ 제 경우에 돈이 있어도 과연 가질 것인가?에서는 글쎄!라는 생각을 합니다만... 아내분과 함께하는 모습은 차를 좋아하던 하지 않던 부럽고 예쁘고 로망이 되는 모습이지 싶네요^^ 재미있게 잘보고 갑니다^^,1
62,안오준님 저도 막 채널 시작했는데구독한번 부탁드려요 ㄷㄷ롤스던은 운전하기 쉬운차인지후방시야나 그런부분이 궁금합니다,1
63,화니의 여신상 나이트클럽 대박^^ㅋㅋ,1
64,참 좋은차인데 그냥줘도 부담스러워서 안끌고 다닐듯,1
65,모르는여자랑 저차타고 드라입하면  없던사랑도 갑자기 생기겠어요. 하..♡,1
66,시승기는 공뷰를 좀 많이 하시고 정확한 정보를 제공해주셔야할듯,1
67,8:43 설마 앞유리 6개 스티커 전부 각기 다른 아파트입주민 스티커인가여? ㄷㄷ,1
68,10기통:으으악악악악악악(기어3단)으으악악악악악!!! 이것듣고 몇번 응 뒤로가기를 했는지 몰를겠어욬ㅋㅋㅋ,4
69,우리나라에서 롤스로이스타기 아까운것같애요 미세먼지땜에 갬성이 가려질듯,2
70,23:13 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ  무슨 표현력 코믹대회 ㅋ,5
71,오늘도 피글렛찡의 미모가 돋보였다,1
72,내 차도 풍절음은 롤스로이스급이었구나^^,4
73,ㄹㅇ인트로는 오줌님 👍,1
74,22:58 에 있는 운전석쪽 앞유리에 스티커 여러게 설마 전부 아파트 스피커....?,2
75,롤스로이스 던보다 빛나는 피글렛님의 외모...,1
76,안오준 인생의 성공은 가구사업의 번창도 원하는 차를 다 타보는 것도 아니고 존예 피글렛을 가진것 ..,3
